# Force coefficients
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
0.059005558     	-6.94969189e-05	6.48713974e-02	-5.51766095e-03	-2.82832740e-03	-2.68933356e-03
0.061663436     	-7.19662812e-05	6.94244511e-02	-1.85053686e-02	-9.32465058e-03	-9.18071802e-03
0.064325612     	-6.80956482e-05	6.31817993e-02	1.15460553e-02	5.70493202e-03	5.84112331e-03
0.066989224     	-6.86090002e-05	7.51226159e-02	5.10732207e-03	2.48505203e-03	2.62227003e-03
0.069654276     	-6.91703281e-05	7.94972077e-02	4.08008963e-03	1.97087449e-03	2.10921514e-03
0.072325103     	-7.06174640e-05	6.86080379e-02	-4.67912819e-03	-2.41018156e-03	-2.26894663e-03
0.074997378     	-6.53240948e-05	6.65640394e-02	3.08318848e-03	1.47627014e-03	1.60691833e-03
0.077672556     	-6.66603168e-05	6.67295898e-02	-1.74779720e-03	-9.40558918e-04	-8.07238285e-04
0.080347734     	-6.97560910e-05	7.29476051e-02	-1.34965500e-02	-6.81803110e-03	-6.67851892e-03
0.083024367     	-7.23372337e-05	6.74964650e-02	-6.32998141e-03	-3.23732794e-03	-3.09265347e-03
0.085699544     	-6.58112616e-05	7.02782098e-02	8.45243165e-03	4.16040456e-03	4.29202709e-03
0.088376178     	-6.40296821e-05	7.01351680e-02	3.11592949e-03	1.49393506e-03	1.62199443e-03
0.091051355     	-6.42185203e-05	6.65738321e-02	-2.05820674e-02	-1.03552522e-02	-1.02268152e-02
0.09372799      	-6.60322184e-05	7.26426033e-02	-3.90521490e-03	-2.01863967e-03	-1.88657523e-03
0.096403165     	-6.77192582e-05	7.68488723e-02	1.61923921e-03	7.41900349e-04	8.77338865e-04
0.099081263     	-6.30571426e-05	7.48250053e-02	1.23670447e-02	6.12046520e-03	6.24657949e-03
0.1017579       	-6.43097820e-05	9.09426776e-02	1.01642545e-02	5.01781749e-03	5.14643705e-03
0.104436        	-6.74748475e-05	6.22953299e-02	1.60802754e-02	7.97266284e-03	8.10761254e-03
0.10711263      	-7.09960309e-05	6.83428634e-02	9.70257439e-03	4.78029116e-03	4.92228322e-03
0.1097878       	-7.35194085e-05	6.96921182e-02	-2.78528899e-03	-1.46616391e-03	-1.31912509e-03
0.11246005      	-7.31707419e-05	9.44090329e-02	-1.58065527e-02	-7.97644708e-03	-7.83010559e-03
0.1151323       	-6.14966069e-05	6.29700067e-02	1.83528216e-02	9.11491420e-03	9.23790741e-03
0.11780454      	-5.93264325e-05	7.34725396e-02	2.88225670e-04	8.47864025e-05	2.03439267e-04
